sample_index,bucket,source_name,uid
108330,hard,hotpot,hotpot:108330
49524,medium_high,nq,nq:49524
151352,medium_high,hotpot,hotpot:151352
1722,medium_low,nq,nq:1722
173680,medium_low,hotpot,hotpot:173680
34430,medium_high,nq,nq:34430
123454,medium_low,hotpot,hotpot:123454
74188,medium_high,hotpot,hotpot:74188
1538,easy_high,nq,nq:1538
135796,easy_high,hotpot,hotpot:135796
101432,easy_high,nq,nq:101432
94884,medium_low,nq,nq:94884
117426,medium_high,nq,nq:117426
44956,easy_high,nq,nq:44956
123952,medium_high,nq,nq:123952
17524,hard,hotpot,hotpot:17524
142214,medium_high,hotpot,hotpot:142214
32032,easy_high,nq,nq:32032
22316,medium_mid,nq,nq:22316
24318,medium_low,hotpot,hotpot:24318
11842,medium_mid,hotpot,hotpot:11842
70238,medium_low,nq,nq:70238
172684,medium_low,hotpot,hotpot:172684
236,easy_high,nq,nq:236
169590,medium_high,hotpot,hotpot:169590
120592,medium_mid,hotpot,hotpot:120592
2600,easy_high,nq,nq:2600
110610,medium_low,hotpot,hotpot:110610
42950,medium_low,nq,nq:42950
2392,medium_low,nq,nq:2392
100520,medium_high,nq,nq:100520
57104,easy_high,hotpot,hotpot:57104
47854,medium_low,nq,nq:47854
70848,medium_high,nq,nq:70848
99334,medium_low,nq,nq:99334
106214,medium_low,hotpot,hotpot:106214
158212,easy_high,hotpot,hotpot:158212
61164,medium_mid,nq,nq:61164
35456,easy_high,hotpot,hotpot:35456
3766,hard,hotpot,hotpot:3766
39986,easy_high,hotpot,hotpot:39986
161148,easy_high,hotpot,hotpot:161148
17524,easy_high,nq,nq:17524
54414,easy_high,hotpot,hotpot:54414
26568,medium_high,nq,nq:26568
130380,medium_mid,nq,nq:130380
123758,easy_high,hotpot,hotpot:123758
8762,medium_low,hotpot,hotpot:8762
24330,medium_low,hotpot,hotpot:24330
54782,medium_high,hotpot,hotpot:54782
122396,easy_high,hotpot,hotpot:122396
126986,medium_high,nq,nq:126986
63988,easy_high,nq,nq:63988
26700,easy_high,nq,nq:26700
40670,medium_low,nq,nq:40670
104744,medium_mid,hotpot,hotpot:104744
146900,easy_high,nq,nq:146900
117034,hard,hotpot,hotpot:117034
76272,medium_low,nq,nq:76272
77044,hard,hotpot,hotpot:77044
5048,medium_low,nq,nq:5048
179140,medium_high,hotpot,hotpot:179140
144294,medium_high,hotpot,hotpot:144294
56306,medium_mid,nq,nq:56306
11084,easy_high,nq,nq:11084
45362,medium_mid,nq,nq:45362
78214,medium_low,nq,nq:78214
15170,easy_high,nq,nq:15170
37778,easy_high,hotpot,hotpot:37778
14542,medium_high,hotpot,hotpot:14542
14232,easy_high,nq,nq:14232
136808,medium_mid,nq,nq:136808
57914,medium_mid,hotpot,hotpot:57914
122464,medium_high,nq,nq:122464
57196,easy_high,hotpot,hotpot:57196
14778,medium_high,nq,nq:14778
114414,medium_high,nq,nq:114414
106788,medium_high,nq,nq:106788
110040,medium_high,nq,nq:110040
17864,medium_low,nq,nq:17864
87708,medium_high,nq,nq:87708
76412,medium_low,hotpot,hotpot:76412
90728,easy_high,nq,nq:90728
22376,medium_mid,hotpot,hotpot:22376
135022,medium_high,nq,nq:135022
98762,hard,nq,nq:98762
42622,medium_mid,nq,nq:42622
102656,medium_high,hotpot,hotpot:102656
66140,medium_low,nq,nq:66140
27334,medium_mid,nq,nq:27334
107886,medium_high,nq,nq:107886
37568,medium_mid,nq,nq:37568
66188,medium_high,hotpot,hotpot:66188
37474,medium_low,nq,nq:37474
56178,medium_high,hotpot,hotpot:56178
104678,medium_mid,nq,nq:104678
856,medium_high,nq,nq:856
45676,hard,nq,nq:45676
40950,medium_mid,hotpot,hotpot:40950
12278,easy_high,hotpot,hotpot:12278
32592,medium_mid,hotpot,hotpot:32592
156286,medium_low,nq,nq:156286
33798,medium_mid,hotpot,hotpot:33798
77966,easy_high,nq,nq:77966
137262,easy_high,nq,nq:137262
157926,medium_low,nq,nq:157926
18118,medium_high,hotpot,hotpot:18118
101338,medium_high,nq,nq:101338
108802,hard,nq,nq:108802
167378,medium_high,hotpot,hotpot:167378
