sample_index,bucket,source_name,uid
125366,medium_high,hotpot,hotpot:125366
111580,medium_high,hotpot,hotpot:111580
104568,medium_high,hotpot,hotpot:104568
6134,medium_mid,hotpot,hotpot:6134
46724,medium_mid,hotpot,hotpot:46724
162004,medium_mid,hotpot,hotpot:162004
86862,easy_high,hotpot,hotpot:86862
161250,medium_mid,hotpot,hotpot:161250
178798,medium_mid,hotpot,hotpot:178798
17548,medium_high,nq,nq:17548
28768,medium_high,nq,nq:28768
35046,medium_mid,nq,nq:35046
153718,easy_high,nq,nq:153718
75478,medium_mid,nq,nq:75478
100366,easy_high,nq,nq:100366
55556,easy_high,nq,nq:55556
142214,medium_high,hotpot,hotpot:142214
146078,medium_mid,nq,nq:146078
121912,hard,hotpot,hotpot:121912
132612,easy_high,hotpot,hotpot:132612
3082,medium_mid,nq,nq:3082
34608,medium_high,hotpot,hotpot:34608
72950,easy_high,nq,nq:72950
102566,medium_high,nq,nq:102566
24940,medium_high,hotpot,hotpot:24940
112684,medium_high,nq,nq:112684
38970,medium_high,nq,nq:38970
52770,medium_low,nq,nq:52770
10240,easy_high,nq,nq:10240
41902,easy_high,nq,nq:41902
46424,medium_high,hotpot,hotpot:46424
1900,easy_high,nq,nq:1900
112672,medium_low,hotpot,hotpot:112672
49124,medium_low,nq,nq:49124
67516,medium_high,hotpot,hotpot:67516
107690,medium_low,nq,nq:107690
121910,easy_high,nq,nq:121910
58480,medium_low,nq,nq:58480
69076,easy_high,nq,nq:69076
135894,medium_high,hotpot,hotpot:135894
75050,medium_mid,nq,nq:75050
32490,medium_high,hotpot,hotpot:32490
12934,easy_high,hotpot,hotpot:12934
134722,medium_low,hotpot,hotpot:134722
130392,medium_mid,hotpot,hotpot:130392
134076,medium_mid,nq,nq:134076
136776,medium_mid,hotpot,hotpot:136776
72986,medium_high,nq,nq:72986
71386,medium_mid,hotpot,hotpot:71386
61194,medium_high,hotpot,hotpot:61194
108236,medium_high,nq,nq:108236
79136,hard,hotpot,hotpot:79136
165334,medium_high,hotpot,hotpot:165334
27640,hard,hotpot,hotpot:27640
179386,medium_high,hotpot,hotpot:179386
101066,medium_high,hotpot,hotpot:101066
47500,easy_high,hotpot,hotpot:47500
140360,hard,nq,nq:140360
53634,medium_high,hotpot,hotpot:53634
15892,medium_high,nq,nq:15892
51610,easy_high,nq,nq:51610
25868,medium_low,nq,nq:25868
8480,medium_mid,hotpot,hotpot:8480
108198,medium_mid,nq,nq:108198
170242,medium_high,hotpot,hotpot:170242
66702,medium_high,hotpot,hotpot:66702
53386,easy_high,hotpot,hotpot:53386
25216,medium_low,nq,nq:25216
20790,medium_mid,hotpot,hotpot:20790
84610,medium_mid,hotpot,hotpot:84610
96432,easy_high,hotpot,hotpot:96432
154204,easy_high,hotpot,hotpot:154204
47604,medium_high,nq,nq:47604
38780,easy_high,nq,nq:38780
61752,medium_mid,hotpot,hotpot:61752
143196,medium_mid,nq,nq:143196
149650,medium_high,nq,nq:149650
15958,easy_high,hotpot,hotpot:15958
59518,medium_high,hotpot,hotpot:59518
27190,easy_high,hotpot,hotpot:27190
56810,medium_high,nq,nq:56810
146570,easy_high,nq,nq:146570
101386,easy_high,hotpot,hotpot:101386
90,medium_low,hotpot,hotpot:90
89514,easy_high,nq,nq:89514
40820,medium_mid,nq,nq:40820
131512,medium_high,hotpot,hotpot:131512
